Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(0.0, 180.0, 91.8794)","(180.0, 180.0, 94.5192)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.9261)","(180.0, 0.0, 151.3815)","(0.0, 180.0, 73.8245)","(180.0, 0.0, 139.5943)","(0.0, 180.0, 78.0005)","(180.0, 0.0, 174.3411)","(180.0, 180.0, 178.9858)"
"(nan, nan, nan)","(0.0, 180.0, 92.1084)","(180.0, 180.0, 93.2761)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.3379)","(180.0, 0.0, 150.2304)","(0.0, 180.0, 74.9659)","(180.0, 0.0, 137.6522)","(0.0, 180.0, 78.3615)","(180.0, 0.0, 173.1538)","(180.0, 180.0, 180.0)"
"(nan, nan, nan)","(0.0, 180.0, 92.173)","(180.0, 180.0, 93.3146)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.3459)","(180.0, 0.0, 150.2304)","(0.0, 180.0, 74.7865)","(180.0, 0.0, 138.6667)","(0.0, 180.0, 77.5435)","(180.0, 0.0, 173.1153)","(180.0, 180.0, 179.9354)"
"(nan, nan, nan)","(0.0, 180.0, 90.9805)","(180.0, 180.0, 94.547)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.3573)","(180.0, 0.0, 149.1037)","(0.0, 180.0, 75.7444)","(180.0, 0.0, 138.4946)","(0.0, 180.0, 77.3825)","(180.0, 0.0, 173.0753)","(180.0, 180.0, 179.9354)"
"(nan, nan, nan)","(0.0, 180.0, 90.9805)","(180.0, 180.0, 95.6256)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.3573)","(180.0, 0.0, 149.1037)","(0.0, 180.0, 75.7444)","(180.0, 0.0, 137.7792)","(0.0, 180.0, 78.0979)","(180.0, 0.0, 170.934)","(180.0, 180.0, 179.9354)"
"(nan, nan, nan)","(0.0, 180.0, 92.2401)","(180.0, 180.0, 94.4332)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.3686)","(180.0, 0.0, 148.0015)","(0.0, 180.0, 76.6788)","(180.0, 0.0, 137.7792)","(0.0, 180.0, 77.9379)","(180.0, 0.0, 170.934)","(180.0, 180.0, 179.8682)"
"(nan, nan, nan)","(0.0, 180.0, 92.2401)","(180.0, 180.0, 93.3546)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.3686)","(180.0, 0.0, 148.0015)","(0.0, 180.0, 76.6788)","(180.0, 0.0, 137.5984)","(0.0, 180.0, 77.9379)","(180.0, 0.0, 172.0126)","(180.0, 180.0, 179.8061)"
"(nan, nan, nan)","(0.0, 180.0, 92.2401)","(180.0, 180.0, 93.3961)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.6387)","(180.0, nan, 147.7244)","(0.0, 180.0, 77.938)","(180.0, 0.0, 136.0051)","(0.0, 180.0, 79.5394)","(180.0, 0.0, 172.0868)","(180.0, 180.0, 179.8682)"
"(nan, nan, nan)","(0.0, 180.0, 91.1925)","(180.0, 180.0, 93.4841)","(180.0, 180.0, nan)","(180.0, 180.0, 179.6059)","(180.0, nan, 147.7244)","(0.0, 180.0, 78.106)","(180.0, 0.0, 136.7556)","(0.0, 180.0, 78.3146)","(180.0, 0.0, 172.1101)","(180.0, 180.0, 178.1495)"
"(nan, nan, nan)","(0.0, 180.0, 91.1925)","(180.0, 180.0, 93.5308)","(180.0, 180.0, nan)","(180.0, 180.0, 179.6059)","(180.0, nan, 146.6593)","(0.0, 180.0, 79.171)","(180.0, 0.0, 138.1701)","(0.0, 180.0, 78.3146)","(180.0, 0.0, 172.1704)","(180.0, 180.0, 178.1495)"
