RightHand,LeftHand,LeftShoulder,RightShoulder,RightArm,LeftArm,LeftFoot,RightFoot,LeftLeg,RightLeg,LeftUpLeg,RightUpLeg,Head,Neck,Hips,Spine,Spine2
"(140, 216, 0)","(267, 215, 0)","(244, 136, 0)","(159, 138, 0)","(139, 177, 0)","(271, 175, 0)","(235, 326, 0)","(182, 326, 0)","(232, 274, 0)","(179, 278, 0)","(228, 221, 0)","(181, 223, 0)","(200, 96, 0)","(201.5, 137.0, 0.0)","(204.5, 222.0, 0.0)","(204.5, 222.0, 0.0)","(203.0, 179.5, 0.0)"
"(139, 216, 0)","(266, 215, 0)","(244, 136, 0)","(159, 138, 0)","(138, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 222, 0)","(181, 223, 0)","(201, 95, 0)","(201.5, 137.0, 0.0)","(205.0, 222.5, 0.0)","(205.0, 222.5, 0.0)","(203.25, 179.75, 0.0)"
"(139, 216, 0)","(266, 215, 0)","(245, 136, 0)","(159, 138, 0)","(138, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 223, 0)","(181, 224, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 223.5, 0.0)","(205.0, 223.5, 0.0)","(203.5, 180.25, 0.0)"
"(138, 216, 0)","(266, 214, 0)","(245, 136, 0)","(159, 138, 0)","(137, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 223, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.0, 0.0)","(205.0, 224.0, 0.0)","(203.5, 180.5, 0.0)"
"(138, 216, 0)","(266, 213, 0)","(245, 136, 0)","(159, 138, 0)","(137, 177, 0)","(271, 173, 0)","(235, 326, 0)","(183, 327, 0)","(232, 274, 0)","(178, 278, 0)","(229, 223, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.0, 0.0)","(205.0, 224.0, 0.0)","(203.5, 180.5, 0.0)"
"(137, 216, 0)","(266, 213, 0)","(245, 136, 0)","(159, 138, 0)","(136, 177, 0)","(271, 173, 0)","(235, 326, 0)","(183, 327, 0)","(232, 274, 0)","(178, 278, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.5, 180.75, 0.0)"
"(137, 216, 0)","(266, 212, 0)","(245, 136, 0)","(159, 138, 0)","(136, 177, 0)","(271, 173, 0)","(235, 327, 0)","(184, 327, 0)","(232, 274, 0)","(179, 278, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.5, 180.75, 0.0)"
"(136, 216, 0)","(267, 212, 0)","(245, 136, 0)","(160, 138, 0)","(136, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 327, 0)","(232, 274, 0)","(179, 277, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.75, 0.0)"
"(136, 216, 0)","(267, 212, 0)","(245, 135, 0)","(160, 138, 0)","(136, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 275, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.5, 0.0)"
"(135, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.5, 0.0)"
"(135, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 225.0, 0.0)","(205.0, 225.0, 0.0)","(203.75, 180.75, 0.0)"
"(134, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(181, 226, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 225.5, 0.0)","(205.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(235, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(235, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 326, 0)","(231, 274, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 325, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(184, 325, 0)","(231, 272, 0)","(179, 275, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 325, 0)","(231, 272, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
